game_name,game_rank,game_year,genre,na_sales,eu_sales,jp_sales,other_sales,platform,publisher,title,rank,report_date
"The Lord of the Rings: The Two Towers",228,2002,Action,1.94,1.95,0.08,0.7,PS2,"Electronic Arts",NULL,NULL,NULL
"Forza Motorsport 4",229,2011,Racing,2.08,2.04,0.06,0.47,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Tomb Raider",230,1996,Action,2.29,1.97,0.13,0.24,PS,"Eidos Interactive",NULL,NULL,NULL
"Guitar Hero III: Legends of Rock",231,2007,Misc,3.06,1.12,0,0.44,Wii,Activision,NULL,NULL,NULL
"The Legend of Zelda: A Link to the Past",232,1991,Action,2.42,0.91,1.15,0.13,SNES,Nintendo,NULL,NULL,NULL
"The Legend of Zelda: The Wind Waker",233,2002,Action,2.6,0.99,0.89,0.13,GC,Nintendo,NULL,NULL,NULL
"Mario & Sonic at the Olympic Winter Games",234,2009,Sports,1.89,1.99,0.22,0.48,Wii,Sega,NULL,NULL,NULL
"Luigi's Mansion: Dark Moon",235,2013,Action,1.78,1.39,1.1,0.3,3DS,Nintendo,NULL,NULL,NULL
Splatoon,236,2015,Shooter,1.55,1.15,1.44,0.43,WiiU,Nintendo,NULL,NULL,NULL
"The Last of Us",237,2014,Action,1.78,1.87,0.07,0.82,PS4,"Sony Computer Entertainment",NULL,NULL,NULL
"Guitar Hero III: Legends of Rock",238,2007,Misc,3.19,0.92,0.01,0.42,X360,Activision,NULL,NULL,NULL
"Madden NFL 2005",239,2004,Sports,4.18,0.26,0.01,0.08,PS2,"Electronic Arts",NULL,NULL,NULL
Pitfall!,240,1981,Platform,4.21,0.24,0,0.05,2600,Activision,NULL,NULL,NULL
"Madden NFL 07",241,2006,Sports,3.63,0.24,0.01,0.61,PS2,"Electronic Arts",NULL,NULL,NULL
"Spider-Man: The Movie",242,2002,Action,2.71,1.51,0.03,0.23,PS2,Activision,NULL,NULL,NULL
"Dragon Quest VII: Warriors of Eden",243,2000,Role-Playing,0.2,0.14,4.1,0.02,PS,"Enix Corporation",NULL,NULL,NULL
"Uncharted: The Nathan Drake Collection",244,2015,Action,1.96,1.69,0.08,0.74,PS4,"Sony Computer Entertainment",NULL,NULL,NULL
"Call of Duty: Advanced Warfare",245,2014,Shooter,1.54,1.94,0.19,0.77,PS3,Activision,NULL,NULL,NULL
"God of War",246,2005,Action,2.71,1.29,0.02,0.43,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Nintendo Land",247,2012,Misc,2.55,1.11,0.46,0.33,WiiU,Nintendo,NULL,NULL,NULL
"Michael Jackson: The Experience",248,2010,Misc,2.67,1.35,0.01,0.39,Wii,Ubisoft,NULL,NULL,NULL
"Tony Hawk's Pro Skater 3",249,2001,Sports,2.66,1.29,0.01,0.46,PS2,Activision,NULL,NULL,NULL
"Winning Eleven: Pro Evolution Soccer 2007",250,2006,Sports,0.1,2.39,1.05,0.86,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
"The Elder Scrolls IV: Oblivion",251,2006,Role-Playing,2.82,1.05,0.13,0.4,X360,"Take-Two Interactive",NULL,NULL,NULL
"Zelda II: The Adventure of Link",252,1987,Adventure,2.19,0.5,1.61,0.08,NES,Nintendo,NULL,NULL,NULL
"Need for Speed: Most Wanted",253,2005,Racing,2.03,1.79,0.08,0.47,PS2,"Electronic Arts",NULL,NULL,NULL
"Resistance: Fall of Man",254,2006,Shooter,1.73,1.73,0.14,0.75,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Sonic the Hedgehog",255,1991,Platform,3.03,0.91,0.26,0.13,GEN,Sega,NULL,NULL,NULL
"Kingdom Hearts II",256,2005,Role-Playing,2.2,0.58,1.38,0.17,PS2,"Square Enix",NULL,NULL,NULL
"FIFA 14",257,2013,Sports,0.92,2.93,0.01,0.46,X360,"Electronic Arts",NULL,NULL,NULL
"Call of Duty: Advanced Warfare",258,2014,Shooter,2.75,1.18,0,0.37,X360,Activision,NULL,NULL,NULL
Asteroids,259,1980,Shooter,4,0.26,0,0.05,2600,Atari,NULL,NULL,NULL
"Fable II",260,2008,Role-Playing,2.51,1.27,0.11,0.41,X360,"Microsoft Game Studios",NULL,NULL,NULL
"Halo 5: Guardians",261,2015,Shooter,2.64,1.2,0.03,0.39,XOne,"Microsoft Game Studios",NULL,NULL,NULL
"Super Mario 3D World",262,2013,Platform,2.11,1.11,0.72,0.3,WiiU,Nintendo,NULL,NULL,NULL
"Batman: Arkham Asylum",263,2009,Action,2.23,1.34,0.07,0.61,PS3,"Eidos Interactive",NULL,NULL,NULL
"Assassin's Creed: Revelations",264,2011,Action,1.41,2.02,0.1,0.72,PS3,Ubisoft,NULL,NULL,NULL
"Namco Museum",265,2001,Misc,3,1.11,0.05,0.07,GBA,"Namco Bandai Games",NULL,NULL,NULL
"Metal Gear Solid 3: Snake Eater",266,2004,Action,1.46,0,0.83,1.93,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
Daxter,267,2006,Platform,2.45,1.02,0,0.75,PSP,"Sony Computer Entertainment",NULL,NULL,NULL
"Warcraft II: Tides of Darkness",268,1995,Strategy,1.7,2.27,0,0.23,PC,Activision,NULL,NULL,NULL
"The Legend of Zelda: Ocarina of Time",269,2011,Action,2.03,1.27,0.62,0.3,3DS,Nintendo,NULL,NULL,NULL
"FIFA Soccer 06",270,2005,Sports,0.78,2.55,0.04,0.84,PS2,"Electronic Arts",NULL,NULL,NULL
"EyeToy Play",271,2003,Misc,0.88,2.3,0.2,0.83,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Gran Turismo 5 Prologue",273,2007,Racing,1.28,1.83,0.57,0.53,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Assassin's Creed: Revelations",274,2011,Action,2.25,1.47,0.04,0.43,X360,Ubisoft,NULL,NULL,NULL
"Street Fighter IV",275,2009,Fighting,2.02,1.06,0.58,0.53,PS3,Capcom,NULL,NULL,NULL
"FIFA 12",276,2011,Sports,0.84,2.79,0.02,0.53,X360,"Electronic Arts",NULL,NULL,NULL
"Teenage Mutant Ninja Turtles",277,1989,Action,3.38,0.44,0.31,0.04,NES,Palcom,NULL,NULL,NULL
Excitebike,278,1984,Racing,2.04,0.48,1.57,0.07,NES,Nintendo,NULL,NULL,NULL
Frogger,279,1997,Action,3.79,0.27,0,0.11,PS,"Hasbro Interactive",NULL,NULL,NULL
"Madden NFL 2003",280,2002,Sports,3.36,0.21,0.01,0.56,PS2,"Electronic Arts",NULL,NULL,NULL
"Watch Dogs",281,2014,Action,1.4,1.86,0.11,0.77,PS4,Ubisoft,NULL,NULL,NULL
Half-Life,282,1997,Shooter,4.03,0,0.09,0,PC,"Vivendi Games",NULL,NULL,NULL
"Super Mario World 2: Yoshi's Island",283,1995,Platform,1.65,0.61,1.76,0.09,SNES,Nintendo,NULL,NULL,NULL
"FIFA Soccer 07",284,2006,Sports,0.71,2.48,0.03,0.89,PS2,"Electronic Arts",NULL,NULL,NULL
"The Legend of Zelda: Skyward Sword",285,2011,Action,2.14,1.2,0.37,0.4,Wii,Nintendo,NULL,NULL,NULL
"Street Fighter II Turbo",286,1992,Fighting,1.42,0.51,2.1,0.07,SNES,Capcom,NULL,NULL,NULL
"Carnival Games",287,2007,Misc,2.13,1.5,0.05,0.42,Wii,"Take-Two Interactive",NULL,NULL,NULL
"Fallout 4",288,2015,Role-Playing,2.45,1.26,0.01,0.37,XOne,"Bethesda Softworks",NULL,NULL,NULL
"World of Warcraft: The Burning Crusade",289,2007,Role-Playing,2.57,1.52,0,0,PC,Activision,NULL,NULL,NULL
"Fallout: New Vegas",290,2010,Role-Playing,2.65,1.06,0.04,0.33,X360,"Bethesda Softworks",NULL,NULL,NULL
"God of War II",291,2007,Action,2.32,0.04,0.04,1.67,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Forza Motorsport 2",292,2007,Racing,2.35,1.28,0.03,0.41,X360,"Microsoft Game Studios",NULL,NULL,NULL
"World Soccer Winning Eleven 9",293,2005,Sports,0.12,2.26,0.9,0.77,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
"Namco Museum Vol.3",294,1996,Misc,2.28,1.55,0.16,0.06,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Tekken Tag Tournament",295,2000,Fighting,1.68,1.51,0.51,0.35,PS2,"Namco Bandai Games",NULL,NULL,NULL
"Far Cry 4",296,2014,Shooter,1.12,2.12,0.1,0.69,PS4,Ubisoft,NULL,NULL,NULL
"Star Fox 64",297,1997,Shooter,2.78,0.58,0.64,0.04,N64,Nintendo,NULL,NULL,NULL
Minecraft,298,2014,Misc,1.38,1.87,0.12,0.65,PS4,"Sony Computer Entertainment Europe",NULL,NULL,NULL
Golf,299,1984,Sports,1.22,0.28,2.46,0.04,NES,Nintendo,NULL,NULL,NULL
"Fallout 3",300,2008,Role-Playing,2.15,1.2,0.07,0.59,PS3,"Bethesda Softworks",NULL,NULL,NULL
"Professor Layton and the Diabolical Box",301,2007,Puzzle,0.92,1.78,0.92,0.37,DS,Nintendo,NULL,NULL,NULL
"Left 4 Dead 2",302,2009,Shooter,2.67,0.89,0.05,0.37,X360,"Electronic Arts",NULL,NULL,NULL
"Namco Museum: 50th Anniversary",303,2005,Misc,2.08,1.35,0,0.54,PS2,"Namco Bandai Games",NULL,NULL,NULL
"EA Sports Active",304,2009,Sports,2.1,1.36,0.06,0.4,Wii,"Electronic Arts",NULL,NULL,NULL
"Assassin's Creed: Unity",305,2014,Action,1.18,1.96,0.08,0.7,PS4,Ubisoft,NULL,NULL,NULL
"Donkey Kong Land",306,1994,Platform,1.97,0.76,1.07,0.11,GB,Nintendo,NULL,NULL,NULL
"Tony Hawk's Underground",307,2003,Sports,2.29,1.17,0.01,0.42,PS2,Activision,NULL,NULL,NULL
"Assassin's Creed IV: Black Flag",308,2013,Action,1.33,1.71,0.13,0.73,PS3,Ubisoft,NULL,NULL,NULL
"Monster Hunter 4 Ultimate",309,2014,Role-Playing,0.67,0.49,2.62,0.11,3DS,Nintendo,NULL,NULL,NULL
MotorStorm,310,2006,Racing,1.53,1.61,0.06,0.67,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"The Elder Scrolls V: Skyrim",311,2011,Role-Playing,1.15,2.09,0,0.64,PC,"Bethesda Softworks",NULL,NULL,NULL
"Tekken 5",312,2005,Fighting,0.93,1.94,0.31,0.7,PS2,"Namco Bandai Games",NULL,NULL,NULL
"Dragon Warrior III",313,1988,Role-Playing,0.1,0,3.77,0,NES,"Enix Corporation",NULL,NULL,NULL
"Sports Champions",314,2010,Sports,2.12,1.14,0.1,0.51,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"NBA 2K16",315,2015,Sports,2.48,0.65,0.03,0.69,PS4,"Take-Two Interactive",NULL,NULL,NULL
"World Soccer Winning Eleven 8 International",316,2004,Sports,0.16,1.89,1.12,0.68,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
"Flash Focus: Vision Training in Minutes a Day",317,2007,Misc,0.87,1.57,1.05,0.35,DS,Nintendo,NULL,NULL,NULL
"Namco Museum Vol.1",318,1995,Misc,2.12,1.44,0.22,0.06,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"The Legend of Zelda: Link's Awakening",319,1992,Action,2.21,0.96,0.54,0.13,GB,Nintendo,NULL,NULL,NULL
"Mario & Luigi: Bowser's Inside Story",320,2009,Role-Playing,2.26,0.48,0.81,0.27,DS,Nintendo,NULL,NULL,NULL
"Big Brain Academy: Wii Degree",321,2007,Misc,1.06,1.93,0.41,0.43,Wii,Nintendo,NULL,NULL,NULL
"Nintendogs + cats",322,2011,Simulation,1.44,1.37,0.73,0.27,3DS,Nintendo,NULL,NULL,NULL
"Batman: Arkham Knight",323,2015,Action,1.49,1.58,0.1,0.61,PS4,"Warner Bros. Interactive Entertainment",NULL,NULL,NULL
"Mario & Sonic at the London 2012 Olympic Games",324,2011,Sports,1.14,1.91,0.27,0.46,Wii,Sega,NULL,NULL,NULL
"LEGO Indiana Jones: The Original Adventures",325,2008,Action,2.4,1.03,0,0.36,,Activision,NULL,NULL,NULL
"Resident Evil Director's Cut",326,1996,Action,1.82,1.24,0.47,0.25,PS,"Virgin Interactive",NULL,NULL,NULL
"Ratchet & Clank: Size Matters",327,2007,Platform,1.4,1.4,0.1,0.87,PSP,"Sony Computer Entertainment",NULL,NULL,NULL
"Just Dance 2014",328,2013,Misc,1.98,1.47,0,0.32,Wii,Ubisoft,NULL,NULL,NULL
"The Sims: Unleashed",329,2002,Simulation,2.03,1.56,0,0.17,PC,"Electronic Arts",NULL,NULL,NULL
"Super Paper Mario",330,2007,Platform,1.98,0.88,0.59,0.32,Wii,Nintendo,NULL,NULL,NULL
"Harry Potter and the Sorcerer's Stone",331,2001,Action,1.37,2,0.14,0.22,PS,"Electronic Arts",NULL,NULL,NULL
"The Witcher 3: Wild Hunt",332,2015,Role-Playing,0.96,2,0.21,0.56,PS4,"Namco Bandai Games",NULL,NULL,NULL
"Resident Evil 3: Nemesis",333,1999,Action,1.3,0.77,1.54,0.11,PS,"Eidos Interactive",NULL,NULL,NULL
"Spyro: Year of the Dragon",334,2000,Platform,1.93,1.58,0,0.19,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"FIFA Soccer 2005",335,2004,Sports,0.58,2.48,0.04,0.59,PS2,"Electronic Arts",NULL,NULL,NULL
"Pokémon Trading Card Game",336,1998,Strategy,1.49,0.73,1.38,0.1,GB,Nintendo,NULL,NULL,NULL
"Battlefield 4",337,2013,Shooter,1.3,1.51,0.27,0.61,PS3,"Electronic Arts",NULL,NULL,NULL
MySims,338,2007,Simulation,1.59,1.61,0.08,0.41,DS,"Electronic Arts",NULL,NULL,NULL
"Friend Collection",339,2009,Misc,0,0,3.67,0,DS,Nintendo,NULL,NULL,NULL
"Tony Hawk's Pro Skater 4",340,2002,Sports,2.13,1.18,0.01,0.35,PS2,Activision,NULL,NULL,NULL
"Midnight Club 3: DUB Edition",341,2005,Racing,1.65,1.22,0,0.79,PSP,"Take-Two Interactive",NULL,NULL,NULL
Banjo-Kazooie,342,1998,Platform,1.87,1.13,0.55,0.1,N64,Nintendo,NULL,NULL,NULL
"SOCOM: U.S. Navy SEALs",343,2002,Shooter,2.53,0.81,0.06,0.24,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Guitar Hero: World Tour",344,2008,Misc,2.33,0.97,0,0.35,Wii,Activision,NULL,NULL,NULL
"Gran Turismo 6",345,2013,Racing,0.71,1.8,0.4,0.74,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Jak and Daxter: The Precursor Legacy",346,2001,Platform,2.08,1.09,0.15,0.33,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Pokemon Snap",347,1999,Simulation,2.23,0.68,0.66,0.06,N64,Nintendo,NULL,NULL,NULL
"FIFA Soccer 10",348,2009,Sports,0.6,2.46,0.05,0.52,PS3,"Electronic Arts",NULL,NULL,NULL
"Pro Evolution Soccer 2008",349,2007,Sports,0.05,0,0.64,2.93,PS2,"Konami Digital Entertainment",NULL,NULL,NULL
"Call of Duty: Ghosts",350,2013,Shooter,1.78,1.42,0.05,0.38,PS4,Activision,NULL,NULL,NULL
"Resident Evil 4",351,2005,Action,2.08,0.83,0.46,0.25,PS2,Capcom,NULL,NULL,NULL
"Star Wars: Battlefront",353,2004,Shooter,1.93,1.22,0.03,0.44,PS2,LucasArts,NULL,NULL,NULL
"Doom II: Hell on Earth",354,1994,Shooter,2.05,1.4,0,0.16,PC,"Virgin Interactive",NULL,NULL,NULL
"The Simpsons: Road Rage",355,2001,Racing,2.02,1.17,0,0.42,PS2,"Electronic Arts",NULL,NULL,NULL
"Cooking Mama 2: Dinner With Friends",356,2007,Simulation,1.61,1.5,0.1,0.39,DS,"505 Games",NULL,NULL,NULL
"Luigi's Mansion",357,2001,Action,2.38,0.67,0.46,0.1,GC,Nintendo,NULL,NULL,NULL
"Star Wars: Battlefront II",358,2005,Shooter,2.18,1.02,0.03,0.37,PS2,LucasArts,NULL,NULL,NULL
"WWF SmackDown!",359,2000,Fighting,2.01,1.35,0.06,0.16,PS,THQ,NULL,NULL,NULL
"Croc: Legend of the Gobbos",360,1997,Platform,1.57,1.79,0,0.2,PS,"Fox Interactive",NULL,NULL,NULL
"Grand Theft Auto: Liberty City Stories",361,2006,Action,1.56,1.4,0.07,0.5,PS2,"Take-Two Interactive",NULL,NULL,NULL
"The Getaway",362,2002,Action,1.23,1.77,0.05,0.49,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Tomb Raider III: Adventures of Lara Croft",363,1997,Action,1.66,1.58,0.12,0.18,PS,"Eidos Interactive",NULL,NULL,NULL
"James Bond 007: Agent Under Fire",364,2001,Shooter,1.9,1.13,0.1,0.41,PS2,"Electronic Arts",NULL,NULL,NULL
"LEGO Star Wars: The Video Game",365,2005,Action,1.98,1.14,0.01,0.41,PS2,"Eidos Interactive",NULL,NULL,NULL
"Battlefield 4",366,2013,Shooter,2.14,1.08,0.02,0.29,X360,"Electronic Arts",NULL,NULL,NULL
"FIFA Soccer 11",367,2010,Sports,0.71,2.4,0.02,0.4,X360,"Electronic Arts",NULL,NULL,NULL
"Rugrats in Paris: The Movie",368,2000,Action,1.96,1.33,0,0.23,PS,THQ,NULL,NULL,NULL
"Spyro 2: Ripto's Rage!",369,1999,Platform,2.14,1.21,0.01,0.17,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"Left 4 Dead",370,2008,Shooter,2.66,0.5,0.05,0.3,X360,"Electronic Arts",NULL,NULL,NULL
"Mario & Sonic at the Olympic Winter Games",371,2009,Sports,1.22,1.66,0.27,0.38,DS,Sega,NULL,NULL,NULL
"Resident Evil 5",372,2009,Action,2.11,0.94,0.12,0.34,X360,Capcom,NULL,NULL,NULL
"Donkey Kong Country 3: Dixie Kong's Double Trouble!",373,1996,Platform,1.17,0.5,1.75,0.08,SNES,Nintendo,NULL,NULL,NULL
"Assassin's Creed: Brotherhood",374,2010,Action,2.84,0.39,0.03,0.24,X360,Ubisoft,NULL,NULL,NULL
"Kung Fu",375,1985,Action,1.64,0.38,1.42,0.06,NES,Nintendo,NULL,NULL,NULL
"Batman: Arkham Asylum",376,2009,Action,2.2,0.97,0.02,0.31,X360,"Eidos Interactive",NULL,NULL,NULL
"Clubhouse Games",377,2006,Misc,0.59,1.83,0.73,0.35,DS,Nintendo,NULL,NULL,NULL
"Star Wars Battlefront (2015)",379,2015,Shooter,1.94,1.22,0.02,0.31,XOne,"Electronic Arts",NULL,NULL,NULL
"Battlefield: Bad Company 2",380,2010,Shooter,2.09,1.02,0.04,0.32,X360,"Electronic Arts",NULL,NULL,NULL
"Guitar Hero: On Tour",381,2008,Misc,2.11,1.01,0.01,0.35,DS,Activision,NULL,NULL,NULL
"Assassin's Creed: Unity",382,2014,Action,2.26,0.89,0,0.3,XOne,Ubisoft,NULL,NULL,NULL
"Far Cry 3",383,2012,Shooter,0.88,1.75,0.1,0.72,PS3,Ubisoft,NULL,NULL,NULL
"Monster Hunter 4",384,2013,Role-Playing,0,0,3.44,0,3DS,Capcom,NULL,NULL,NULL
Borderlands,385,2009,Shooter,2.39,0.73,0.03,0.29,X360,"Take-Two Interactive",NULL,NULL,NULL
"Tekken 4",386,2002,Fighting,1.55,1.27,0.33,0.29,PS2,"Namco Bandai Games",NULL,NULL,NULL
"Battlefield 4",387,2013,Shooter,1.34,1.54,0.17,0.38,PS4,"Electronic Arts",NULL,NULL,NULL
"LittleBigPlanet 2",388,2011,Platform,1.82,1.07,0.06,0.47,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Grand Theft Auto 2",389,1998,Action,1.13,2.07,0,0.22,PS,"Take-Two Interactive",NULL,NULL,NULL
"Final Fantasy III",390,1994,Role-Playing,0.86,0,2.55,0.02,SNES,SquareSoft,NULL,NULL,NULL
"Spider-Man 2",391,2004,Action,1.75,1.2,0.02,0.43,PS2,Activision,NULL,NULL,NULL
"F-1 Race",392,1990,Racing,1.73,0.69,0.59,0.4,GB,Nintendo,NULL,NULL,NULL
"FIFA Soccer 2003",393,2002,Sports,0.46,2.28,0.05,0.61,PS2,"Electronic Arts",NULL,NULL,NULL
"Crash Bash",394,2000,Misc,1.56,1.47,0.19,0.17,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"LEGO Batman: The Videogame",395,2008,Action,2.03,1.03,0,0.32,X360,"Warner Bros. Interactive Entertainment",NULL,NULL,NULL
"Metal Gear Solid V: The Phantom Pain",396,2015,Action,1.08,1.35,0.48,0.47,PS4,"Konami Digital Entertainment",NULL,NULL,NULL
"The Legend of Zelda: Spirit Tracks",397,2009,Action,1.43,0.94,0.74,0.27,DS,Nintendo,NULL,NULL,NULL
"WWF War Zone",398,1998,Fighting,2.47,0.76,0,0.13,PS,"Acclaim Entertainment",NULL,NULL,NULL
"The Legend of Zelda: Majora's Mask",399,2000,Action,1.9,0.67,0.73,0.06,N64,Nintendo,NULL,NULL,NULL
"Professor Layton and the Unwound Future",400,2008,Puzzle,0.65,1.61,0.82,0.28,DS,Nintendo,NULL,NULL,NULL
"Rugrats: Search For Reptar",401,1998,Adventure,1.63,1.53,0,0.18,PS,THQ,NULL,NULL,NULL
"Assassin's Creed IV: Black Flag",402,2013,Action,1.9,1.14,0.01,0.29,X360,Ubisoft,NULL,NULL,NULL
"English Training: Have Fun Improving Your Skills!",403,2006,Misc,0,0.99,2.32,0.02,DS,Nintendo,NULL,NULL,NULL
"James Bond 007: Nightfire",404,2002,Shooter,1.45,1.29,0.12,0.46,PS2,"Electronic Arts",NULL,NULL,NULL
"Ratchet & Clank",405,2002,Platform,1.44,1.01,0.57,0.3,PS2,"Sony Computer Entertainment",NULL,NULL,NULL
"Mario Party 9",406,2012,Misc,1.15,1.17,0.76,0.24,Wii,Nintendo,NULL,NULL,NULL
"Star Wars Episode III: Revenge of the Sith",407,2005,Action,1.47,1.39,0.03,0.43,PS2,LucasArts,NULL,NULL,NULL
"Max Payne",408,2001,Shooter,1.99,1.05,0.05,0.22,PS2,"Take-Two Interactive",NULL,NULL,NULL
"The Lord of the Rings: The Return of the King",409,2003,Action,1.5,1.28,0.05,0.46,PS2,"Electronic Arts",NULL,NULL,NULL
"Assassin's Creed Syndicate",410,2015,Action,0.8,1.92,0.06,0.5,PS4,Ubisoft,NULL,NULL,NULL
Destiny,411,2014,Shooter,2.13,0.92,0,0.23,XOne,Activision,NULL,NULL,NULL
"True Crime: Streets of LA",412,2003,Action,1.89,1.05,0.02,0.31,PS2,Activision,NULL,NULL,NULL
"Wii Music",413,2008,Misc,1.36,1.13,0.46,0.32,Wii,Nintendo,NULL,NULL,NULL
"Gran Turismo (PSP)",414,2009,Racing,0.5,1.59,0.31,0.87,PSP,"Sony Computer Entertainment",NULL,NULL,NULL
"Monster Hunter X",415,2015,Action,0.25,0.19,2.78,0.04,3DS,Capcom,NULL,NULL,NULL
Tekken,416,1995,Fighting,0.95,1.3,0.77,0.22,PS,"Sony Computer Entertainment",NULL,NULL,NULL
"FIFA 16",417,2015,Sports,0.88,2.11,0,0.23,XOne,"Electronic Arts",NULL,NULL,NULL
"L.A. Noire",418,2011,Adventure,1.27,1.33,0.12,0.51,PS3,"Take-Two Interactive",NULL,NULL,NULL
"Madden NFL 16",419,2015,Sports,2.33,0.3,0,0.59,PS4,"Electronic Arts",NULL,NULL,NULL
"Yokai Watch 2 Ganso/Honke",420,2014,Role-Playing,0.03,0,3.18,0,3DS,Nintendo,NULL,NULL,NULL
"007: Tomorrow Never Dies",421,1999,Shooter,1.72,1.33,0,0.16,PS,"Electronic Arts",NULL,NULL,NULL
Baseball,422,1983,Sports,0.73,0.1,2.35,0.02,NES,Nintendo,NULL,NULL,NULL
"Killer Instinct",423,1995,Fighting,2.26,0.72,0.12,0.1,SNES,Nintendo,NULL,NULL,NULL
"WWF SmackDown! 2: Know Your Role",424,2000,Fighting,1.76,1.21,0.07,0.16,PS,THQ,NULL,NULL,NULL
"Crisis Core: Final Fantasy VII",425,2007,Role-Playing,1.35,0.6,0.8,0.44,PSP,"Square Enix",NULL,NULL,NULL
"God of War: Chains of Olympus",426,2008,Action,1.48,1.01,0.04,0.66,PSP,"Sony Computer Entertainment",NULL,NULL,NULL
"Dragon Quest VI: Maboroshi no Daichi",427,1995,Role-Playing,0,0,3.19,0,SNES,"Enix Corporation",NULL,NULL,NULL
"Dance Central",428,2010,Misc,2.15,0.77,0.01,0.26,X360,"MTV Games",NULL,NULL,NULL
"Enter the Matrix",429,2003,Action,1.78,1.12,0.09,0.19,PS2,Atari,NULL,NULL,NULL
"Super Mario Maker",430,2015,Platform,1.18,0.87,0.93,0.2,WiiU,Nintendo,NULL,NULL,NULL
"Fallout: New Vegas",431,2010,Role-Playing,1.52,1.08,0.1,0.47,PS3,"Bethesda Softworks",NULL,NULL,NULL
"Rhythm Heaven",433,2008,Misc,0.58,0.51,1.93,0.14,DS,Nintendo,NULL,NULL,NULL
"Ace Combat 04: Shattered Skies",434,2001,Simulation,2.06,0.56,0.38,0.17,PS2,"Sony Computer Entertainment Europe",NULL,NULL,NULL
"Club Penguin: Elite Penguin Force",435,2008,Adventure,1.88,0.98,0,0.3,DS,"Disney Interactive Studios",NULL,NULL,NULL
"Animal Crossing",436,2001,Simulation,1.92,0.16,0.99,0.09,GC,Nintendo,NULL,NULL,NULL
"LEGO Batman: The Videogame",437,2008,Action,1.79,1.06,0,0.29,DS,"Warner Bros. Interactive Entertainment",NULL,NULL,NULL
"Sonic Rush",438,2005,Platform,1.22,1.57,0.06,0.29,DS,Sega,NULL,NULL,NULL
"Resident Evil 6",439,2012,Shooter,0.88,0.97,0.88,0.42,PS3,Capcom,NULL,NULL,NULL
"Halo: The Master Chief Collection",440,2014,Shooter,1.89,0.99,0.03,0.24,XOne,"Microsoft Game Studios",NULL,NULL,NULL
"FIFA Soccer 08",441,2007,Sports,0.68,0,0,2.46,PS2,"Electronic Arts",NULL,NULL,NULL
Spider-Man,442,2000,Action,1.7,1.25,0.02,0.16,PS,Activision,NULL,NULL,NULL
"Need for Speed III: Hot Pursuit",443,1998,Racing,2.14,0.86,0,0.13,PS,"Electronic Arts",NULL,NULL,NULL
"Star Wars Episode I Racer",444,1999,Racing,2.31,0.62,0.14,0.04,N64,Nintendo,NULL,NULL,NULL
"Personal Trainer: Cooking",445,2006,Misc,0.91,1,1.03,0.17,DS,Nintendo,NULL,NULL,NULL
"The Elder Scrolls IV: Oblivion",446,2007,Role-Playing,1.69,0.87,0.14,0.42,PS3,Ubisoft,NULL,NULL,NULL
"Dragon Warrior IV",447,1990,Role-Playing,0.08,0,3.03,0.01,NES,"Enix Corporation",NULL,NULL,NULL
"Heavy Rain",448,2010,Adventure,1.29,1.27,0.06,0.5,PS3,"Sony Computer Entertainment",NULL,NULL,NULL
"Mass Effect 2",449,2010,Role-Playing,1.99,0.82,0.03,0.27,X360,"Electronic Arts",NULL,NULL,NULL
"FIFA 15",450,2014,Sports,0.78,2.02,0,0.3,X360,"Electronic Arts",NULL,NULL,NULL
"Dragon Ball Z: Budokai",451,2002,Fighting,2.17,0.28,0.55,0.08,PS2,Atari,NULL,NULL,NULL
"Madden NFL 2002",452,2001,Sports,2.5,0.16,0.01,0.42,PS2,"Electronic Arts",NULL,NULL,NULL
"World Class Track Meet",453,1986,Sports,1.92,0.45,0.64,0.07,NES,"Namco Bandai Games",NULL,NULL,NULL
"Borderlands 2",454,2012,Shooter,1.89,0.91,0.04,0.24,X360,"Take-Two Interactive",NULL,NULL,NULL
"The Legend of Zelda: A Link Between Worlds",455,2013,Action,1.4,0.99,0.46,0.22,3DS,Nintendo,NULL,NULL,NULL
"Donkey Kong",456,1994,Platform,1.57,0.62,0.55,0.34,GB,Nintendo,NULL,NULL,NULL
